Date,Price
31-01-2013,5.6
28-02-2013,5.4
31-03-2013,5.7
30-04-2013,5.5
31-05-2013,5
30-06-2013,6
31-07-2013,6.7
31-08-2013,6.7
30-09-2013,6.8
31-10-2013,6.3
30-11-2013,5.6
31-12-2013,6.4
31-01-2014,7.1
28-02-2014,7.5
31-03-2014,8.2
30-04-2014,8.7
31-05-2014,8.6
30-06-2014,8.2
31-07-2014,7.9
31-08-2014,7.1
30-09-2014,6.8
31-10-2014,6.6
30-11-2014,6.5
31-12-2014,5.9
31-01-2015,3.5
28-02-2015,2.7
31-03-2015,3.1
30-04-2015,2.9
31-05-2015,3.6
30-06-2015,3.6
31-07-2015,3.3
31-08-2015,3.4
30-09-2015,3.6
31-10-2015,4.2
30-11-2015,4.4
31-12-2015,4.6
31-01-2016,7.6
29-02-2016,8.1
31-03-2016,7.1
30-04-2016,7.2
31-05-2016,6.6
30-06-2016,6.7
31-07-2016,7.4
31-08-2016,7.2
30-09-2016,6.6
31-10-2016,6.6
30-11-2016,6.8
31-12-2016,7.2
31-01-2017,6
28-02-2017,5.7
31-03-2017,5.1
30-04-2017,4.6
31-05-2017,4.8
30-06-2017,4
31-07-2017,3.7
31-08-2017,4.2
30-09-2017,5.2
31-10-2017,5
30-11-2017,5.1
31-12-2017,5.2
31-01-2018,5
28-02-2018,4.1
31-03-2018,3.7
30-04-2018,4.4
31-05-2018,4.6
30-06-2018,5.9
31-07-2018,6
31-08-2018,6.3
30-09-2018,6.2
31-10-2018,6.9
30-11-2018,6.8
31-12-2018,5.3
31-01-2019,4
28-02-2019,4.7
31-03-2019,6.2
30-04-2019,6.4
31-05-2019,6.4
30-06-2019,5.8
31-07-2019,4.9
31-08-2019,4.5
30-09-2019,4.1
31-10-2019,3
30-11-2019,2.3
31-12-2019,3.4
31-01-2020,4.6
29-02-2020,4.5
31-03-2020,3.3
30-04-2020,1.3
31-05-2020,0.3
30-06-2020,0.5
31-07-2020,2
31-08-2020,2.4
30-09-2020,2.6
31-10-2020,2.7
30-11-2020,3
31-12-2020,3
31-01-2021,3.5
28-02-2021,4
31-03-2021,5.2
30-04-2021,6.7
31-05-2021,7.4
30-06-2021,7.7
31-07-2021,7.1
31-08-2021,7.2
30-09-2021,7.8
31-10-2021,8.1
30-11-2021,9.6
31-12-2021,10.8
